Month-Year,Value
OCT-2018,359660
NOV-2018,362626
DEC-2018,353734
JAN-2019,360973
FEB-2019,358955
MAR-2019,362361
APR-2019,363445
MAY-2019,366061
JUN-2019,368841
JUL-2019,371971
AUG-2019,372880
SEP-2019,372495
OCT-2019,373604
NOV-2019,374278
DEC-2019,376858
JAN-2020,379692
FEB-2020,380935
MAR-2020,366704
APR-2020,315773
MAY-2020,356539
JUN-2020,386277
JUL-2020,393671
AUG-2020,396885
SEP-2020,403675
OCT-2020,402484
NOV-2020,399673
DEC-2020,399082
JAN-2021,415290
FEB-2021,403048
MAR-2021,439343
APR-2021,443581
MAY-2021,439721
JUN-2021,448968
JUL-2021,443068
AUG-2021,449334
SEP-2021,450379
OCT-2021,456495
NOV-2021,460271
DEC-2021,456588
JAN-2022,461534
FEB-2022,464933
MAR-2022,472381
APR-2022,478548
MAY-2022,478988
JUN-2022,482188
JUL-2022,481596
AUG-2022,487096
SEP-2022,489000
OCT-2022,492671
NOV-2022,488240
DEC-2022,487832
JAN-2023,503651
FEB-2023,500695
MAR-2023,495044
APR-2023,498721
MAY-2023,502159
JUN-2023,503189
JUL-2023,506510
AUG-2023,507769
SEP-2023,510161
OCT-2023,511606
NOV-2023,511370
DEC-2023,514425
JAN-2024,511013
FEB-2024,513403
MAR-2024,516434
APR-2024,515914
MAY-2024,517324
JUN-2024,521259
JUL-2024,523859
AUG-2024,523935
SEP-2024,530276
OCT-2024,531231
NOV-2024,531473
DEC-2024,533843
